id;code;title;start;end;specialization_id;archived
101;AMB_18;Бухгалтер 2 категории;2015-11-01;;;0
148;HOSP_MED_28;Заместитель главного врача по работе с сестринским персоналом;2018-11-02;;62;0
102;AMB_MED_18;Заведующий филиалом - врач-методист;2016-10-17;;62;0
149;HOSP_28;Заместитель главного врача по общим вопросам;2018-11-02;;;0
103;HOSP_MED_19;Заместитель главного врача по неонатологии и педиатрии;2018-11-02;;62;0
127;AMB_MED_23;Заведующий филиалом - врач-пульмонолог;2016-10-17;;14;0
150;AMB_28;Инженер;2019-04-19;;;0
128;HOSP_MED_24;Заместитель главного врача по организационно-методической работе;2018-11-02;;62;0
151;AMB_27;Документовед;2015-11-01;2019-04-19;;0
129;HOSP_24;Заведующий центральным складом;2018-11-02;;;0
152;AMB_MED_28;Заведующий филиалом - врач ультразвуковой диагностики;2016-10-17;;76;0
153;HOSP_MED_29;Заместитель главного врача по реабилитации;2018-11-02;;62;0
154;HOSP_29;Заместитель главного врача по педагогической работе;2018-11-02;;;0
155;AMB_29;Инженер 1 категории;2019-04-19;;;0
156;AMB_28;Инженер;2015-11-01;2019-04-19;;0
157;AMB_MED_29;Заведующий филиалом - врач функциональной диагностики;2016-10-17;;85;0
158;HOSP_MED_30;Заместитель главного врача по санитарно-эпидемиологическим вопросам;2018-11-02;;62;0
159;HOSP_30;Заместитель главного врача по перспективному развитию;2018-11-02;;;0
160;AMB_30;Кассир;2019-04-19;;;0
161;AMB_29;Инженер 1 категории;2016-10-31;2019-04-19;;0
181;AMB_34;Логопед;2019-04-19;;101;0
162;AMB_MED_30;Заведующий филиалом - врач-хирург;2016-10-17;;86;0
182;AMB_32;Литейщик металлов и сплавов;2015-11-01;2019-04-19;;0
163;HOSP_MED_31;Заместитель главного врача по стоматологии;2018-11-02;;62;0
183;HOSP_MED_35;Заместитель главного врача по травматологии и ортопедии;2018-11-02;;62;0
164;HOSP_31;Заместитель главного врача по платным услугам;2018-11-02;;62;0
20;AMB_MED_3;Заместитель главного врача по медицинской части;2015-11-01;;62;0
184;HOSP_35;Заместитель главного врача по хозяйственным вопросам;2018-11-02;;;0
165;AMB_31;Курьер;2019-04-19;;;0
21;HOSP_MED_4;Заведующий поликлиникой - врач-педиатр;2018-11-02;;73;0
185;AMB_MED_35;Заведующий отделением эндокринологии - врач - эндокринолог;2015-11-01;;88;0
167;AMB_MED_31;Заведующий филиалом - врач-эндокринолог;2016-10-17;;88;0
22;HOSP_4;Директор/НМ;2018-11-02;;;0
186;AMB_35;Механик;2019-04-19;;;0
168;HOSP_MED_32;Заместитель главного врача по судебно-психиатрической экспертизе;2018-11-02;;62;0
23;HOSP_EDUC_4;Младший фармацевт;2018-11-02;;;0
187;AMB_33;Лифтёр;2015-11-01;2019-04-19;;0
169;HOSP_32;Заместитель главного врача по реконструкции и строительству;2018-11-02;;;0
24;AMB_4;Заместитель главного врача по экономическим вопросам;2019-04-19;;;0
188;HOSP_MED_36;Заместитель главного врача по хирургической помощи;2018-11-02;;62;0
170;AMB_32;Литейщик металлов и сплавов;2019-04-19;;;0
25;AMB_3;Заведующий хозяйством;2015-11-01;2019-04-19;;0
1;AMB_MED_1;Главный врач;2015-11-01;;62;0
171;AMB_30;Кассир;2015-11-01;2019-04-19;;0
26;AMB_EDUC_4;Провизор;2019-04-19;;;0
2;HOSP_MED_1;Главный врач;2018-11-02;;62;0
172;AMB_MED_32;Заведующий филиалом - врач-эндоскопист;2016-10-17;;89;0
27;AMB_MED_4;Заместитель главного врача по клинико-экспертной работе;2015-11-01;;62;0
4;AMB_1;Главный бухгалтер;2015-11-01;;;0
173;HOSP_MED_33;Заместитель главного врача по терапевтической помощи;2018-11-02;;62;0
28;HOSP_MED_5;Заведующий поликлиникой - врач-специалист;2018-11-02;;91;0
5;HOSP_1;Главный бухгалтер;2018-11-02;;;0
174;HOSP_33;Заместитель главного врача по связям с общественностью, организации и пропаганде донорского движения;2018-11-02;;;0
29;HOSP_5;Заведующий архивом;2018-11-02;;;0
6;HOSP_EDUC_1;Заведующий аптекой - провизор;2018-11-02;;;0
175;AMB_33;Лифтёр;2019-04-19;;;0
7;AMB_EDUC_1;Биолог;2019-04-19;;;0
30;HOSP_EDUC_5;Провизор;2018-11-02;;;0
176;AMB_31;Курьер;2015-11-01;2019-04-19;;0
8;HOSP_MED_2;Заведующий поликлиникой - врач-онколог;2018-11-02;;60;0
177;AMB_MED_33;Заведующий филиалом - врач-эпидемиолог;2016-10-17;;90;0
31;AMB_5;Заместитель главного врача/Н;2019-04-19;;;0
9;HOSP_2;Главный инженер;2018-11-02;;;0
178;HOSP_MED_34;Заместитель главного врача по торакальной хирургии;2018-11-02;;62;0
32;AMB_4;Заместитель главного врача по экономическим вопросам;2015-11-01;2019-04-19;;0
10;HOSP_EDUC_2;Заведующий аптекой - провизор-аналитик;2018-11-02;;;0
179;HOSP_34;Заместитель главного врача по технике;2018-11-02;;;0
33;AMB_EDUC_5;Фармацевт;2019-04-19;;;0
11;AMB_2;Заведующий канцелярией;2015-11-01;;;0
180;AMB_MED_34;Заведующий филиалом - врач - специалист;2015-11-01;2017-03-17;91;0
34;AMB_MED_5;Заведующий отделением детской хирургии - врач - детский хирург;2015-11-01;;49;0
12;AMB_EDUC_2;Инструктор-методист по лечебной физкультуре;2019-04-19;;;0
13;AMB_MED_2;Заместитель главного врача;2015-11-01;;62;0
35;HOSP_MED_6;Заведующий поликлиникой - врач-терапевт;2018-11-02;;61;0
14;HOSP_MED_3;Заведующий поликлиникой - врач-офтальмолог;2018-11-02;;70;0
36;HOSP_6;Заведующий библиотекой;2018-11-02;;;0
37;HOSP_EDUC_6;Провизор-аналитик;2018-11-02;;;0
15;HOSP_3;Главный энергетик;2018-11-02;;;0
38;AMB_MED_6;Заведующий филиалом - врач - терапевт;2015-11-01;;61;0
16;HOSP_EDUC_3;Заместитель заведующего аптекой - провизор;2018-11-02;;;0
17;AMB_3;Заведующий хозяйством;2019-04-19;;;0
39;AMB_6;Начальник информационно-аналитического отдела;2015-11-01;;;0
19;AMB_EDUC_3;Медицинский психолог;2019-04-19;;82;0
40;HOSP_MED_7;Заместитель главного врача по акушерско-гинекологической помощи;2018-11-02;;62;0
41;HOSP_7;Заведующий виварием;2018-11-02;;;0
42;HOSP_EDUC_7;Провизор-стажер;2018-11-02;;;0
43;AMB_MED_7;Заведующий филиалом - врач - педиатр;2015-11-01;;73;0
44;AMB_7;Начальник материально-технического отдела;2015-11-01;;;0
45;HOSP_MED_8;Заместитель главного врача по анестезиологии и реаниматологии;2018-11-02;;7;0
46;HOSP_8;Заведующий канцелярией;2018-11-02;;;0
47;HOSP_EDUC_8;Провизор-технолог;2018-11-02;;;0
48;AMB_8;Начальник отдела кадров;2015-11-01;;;0
49;AMB_MED_8;Заведующий филиалом - врач-акушер-гинеколог;2016-10-17;;2;0
50;HOSP_MED_9;Заместитель главного врача по внутреннему контролю качества оказания медицинской помощи;2018-11-02;;62;0
51;HOSP_9;Заведующий музеем;2018-11-02;;;0
52;HOSP_EDUC_9;Старший провизор;2018-11-02;;;0
53;AMB_9;Начальник отдела медицинской техники;2015-11-01;;;0
54;AMB_MED_9;Заведующий филиалом - врач-аллерголог-иммунолог;2016-10-17;;5;0
55;AMB_MED_10;Заведующий филиалом - врач-гастроэнтеролог;2016-10-17;;17;0
56;HOSP_MED_10;Заместитель главного врача по гематологии;2018-11-02;;62;0
70;AMB_MED_12;Заведующий филиалом - врач-детский онколог;2016-10-17;;45;0
57;HOSP_10;Заведующий отделением лечебной физкультуры - инструктор-методист по лечебной физкультуре;2018-11-02;;;0
71;AMB_12;Начальник планово-экономического отдела;2015-11-01;;;0
58;HOSP_EDUC_10;Старший фармацевт;2018-11-02;;;0
72;HOSP_MED_13;Заместитель главного врача по контролю качества медицинской деятельности и организации хирургической службы;2018-11-02;;62;0
59;AMB_10;Начальник отдела по гражданской обороне и мобилизационной работе;2015-11-01;;;0
73;HOSP_13;Заведующий педагогическим отделением;2018-11-02;;;0
60;HOSP_MED_11;Заместитель главного врача по инфекции;2018-11-02;;62;0
74;HOSP_EDUC_13;Заведующий централизованной аптекой - провизор;2018-11-02;;;0
61;AMB_MED_11;Заведующий филиалом - врач-дерматовенеролог;2016-10-17;;41;0
75;AMB_MED_13;Заведующий филиалом - врач-детский хирург;2016-10-17;;49;0
62;HOSP_11;Заведующий отделением психотерапевтической помощи и социальной реабилитации - медицинский психолог;2018-11-02;;;0
346;AMB_67;Инженер 2 категории;2019-04-19;;;0
76;AMB_13;Начальник хозяйственного отдела;2015-11-01;;;0
63;HOSP_EDUC_11;Фармацевт;2018-11-02;;;0
347;AMB_64;Начальник юридического отделаold;2017-03-17;2019-04-19;;0
77;HOSP_MED_14;Заместитель главного врача по лабораторной работе;2018-11-02;;62;0
64;AMB_11;Начальник отдела по организации оказания платных медицинских услуг;2017-12-14;;;0
348;AMB_MED_67;Заведующий консультативным отделением - врач-терапевт;2016-10-17;;61;0
78;HOSP_14;Заведующий прачечной;2018-11-02;;;0
65;AMB_11;Начальник отдела по организации платных медицинских услуг;2017-10-04;2017-12-14;;0
349;HOSP_MED_68;Заведующий детским инфекционным отделением - врач-педиатр;2018-11-02;;73;0
330;HOSP_MED_64;"Заведующий городским отделением ""Телефон доверия"" - врач-психиатр";2018-11-02;2019-04-16;4;0
66;AMB_11;Начальник отдела по оказанию платных медицинских услуг;2015-11-01;2017-10-04;;0
350;HOSP_68;Заместитель начальника отдела развития информационных систем;2018-11-02;;;0
331;AMB_64;Начальник юридического отдела;2019-04-19;;;0
67;HOSP_MED_12;Заместитель главного врача по клинико-экспертной работе;2018-11-02;;62;0
351;AMB_68;Техник 1 категории;2019-04-19;;;0
332;AMB_61;Юрисконсульт 2 категории;2015-11-01;2019-04-19;;0
68;HOSP_12;Заведующий отделом медицинской психологии - медицинский психолог;2018-11-02;;;0
352;AMB_65;Ведущий специалист по гражданской обороне;2017-03-17;2019-04-19;;0
69;HOSP_EDUC_12;Фасовщик;2018-11-02;;;0
333;AMB_MED_64;Заведующий консультативным отделением - врач-колопроктолог;2016-10-17;;9;0
353;AMB_MED_68;Заведующий консультативным отделением - врач-эндокринолог;2016-10-17;;88;0
371;AMB_MED_72;Заведующий консультативно-диагностическим отделением - врач-детский кардиолог;2016-10-17;;43;0
334;HOSP_MED_65;Заведующий городским центром трансплантации печени - врач-хирург;2018-11-02;;86;0
354;HOSP_MED_69;Заведующий диагностическим отделением - врач клинической лабораторной диагностики;2018-11-02;;3;0
372;AMB_72;Начальник отдела организации и координации работы по пациентоориентированности при оказании первичной медико-санитарной помощи населению;2019-04-19;;;0
373;AMB_69;Техник 2 категории;2017-03-17;2019-04-19;;0
355;HOSP_69;Заместитель начальника планово-экономического отдела;2018-11-02;;;0
397;AMB_MED_77;Заведующий консультативно-диагностическим отделением - врач-оториноларинголог;2016-10-17;;68;0
335;HOSP_65;Заместитель начальника отдела по гражданской обороне и мобилизационной работе;2018-11-02;;;0
374;HOSP_MED_73;Заведующий диспансерным отделением - врач-психиатр;2018-11-02;;4;0
398;HOSP_MED_78;Заведующий дневным стационаром - врач-акушер-гинеколог;2018-11-02;;2;0
375;HOSP_73;Начальник гаража;2018-11-02;;;0
356;AMB_MED_69;Заведующий консультативным отделением - врач - специалист;2015-11-01;2017-03-17;91;0
399;HOSP_78;Начальник кислородно-газификационной службы;2018-11-02;;;0
376;AMB_MED_73;Заведующий консультативно-диагностическим отделением - врач-детский эндокринолог;2016-10-17;;51;0
336;AMB_65;Ведущий специалист по гражданской обороне;2019-04-19;;;0
400;AMB_78;Системный администратор;2019-04-19;;;0
377;AMB_73;Заместитель начальника отдела организации и координации работы по пациентоориентированности при оказании первичной медико-санитарной помощи населению;2019-04-19;;;0
357;AMB_69;Техник 2 категории;2019-04-19;;;0
401;AMB_75;Методист;2015-09-08;;;0
337;AMB_62;Кладовщик;2016-06-24;2019-04-19;;0
402;AMB_MED_78;Заведующий консультативно-диагностическим отделением - врач-педиатр;2016-10-17;;73;0
378;AMB_70;Ведущий специалист по закупкам;2017-07-26;2019-04-19;;0
358;AMB_66;Специалист по охране труда 1 категории;2017-03-17;2019-04-19;;0
403;HOSP_MED_79;Заведующий дневным стационаром - врач-гастроэнтеролог;2018-11-02;;17;0
338;AMB_MED_65;Заведующий консультативным отделением - врач-невролог;2016-10-17;;31;0
404;HOSP_79;Руководитель контрактной службы;2018-12-29;;;0
359;HOSP_MED_70;Заведующий диагностическим отделением - врач ультразвуковой диагностики;2018-11-02;;76;0
379;HOSP_MED_74;Заведующий диспансерным отделением - врач-психиатр детский;2018-11-02;;;0
405;HOSP_79;Начальник контрактной службы;2018-11-02;2018-12-29;;0
360;HOSP_70;Заместитель начальника хозяйственного отдела;2018-11-02;;;0
406;AMB_79;Специалист по рекламе;2019-04-19;;;0
380;HOSP_74;Начальник договорного отдела;2018-11-02;;;0
361;AMB_70;Ведущий специалист по закупкам;2019-04-19;;;0
339;HOSP_MED_66;Заведующий городской амбулаторной судебно-психиатрической экспертизой - врач - судебно-психиатрический эксперт;2018-11-02;;;0
381;AMB_74;Инструктор-методист/H;2019-04-19;;;0
362;AMB_67;Инженер 2 категории;2017-03-17;2019-04-19;;0
407;AMB_79;Начальник справочно-информационного отдела/old;2017-10-04;2019-04-19;;0
382;AMB_71;Старший администратор;2017-07-26;2019-04-19;;0
340;HOSP_66;Заместитель начальника отдела по эксплуатации зданий, сооружений и инженерных коммуникаций;2018-11-02;;;0
363;AMB_MED_70;Заведующий консультативно-диагностическим отделением - врач-аллерголог-иммунолог;2016-10-17;;5;0
383;AMB_MED_74;Заведующий консультативно-диагностическим отделением - врач-колопроктолог;2016-10-17;;9;0
408;AMB_79;Начальник справочно-информационного отдела;2017-10-04;2019-04-19;;0
341;AMB_66;Специалист по охране труда 1 категории;2019-04-19;;;0
364;HOSP_MED_71;Заведующий диагностическим отделением - врач функциональной диагностики;2018-11-02;;85;0
384;HOSP_MED_75;Заведующий диспансерным кабинетом - врач-терапевт;2018-11-02;;61;0
342;AMB_63;Кастелянша;2016-10-31;2019-04-19;;0
365;HOSP_71;Заместитель начальника юридического отдела;2018-11-02;;;0
385;HOSP_75;Начальник дозиметрической лаборатории;2018-11-02;;;0
343;AMB_MED_66;Заведующий консультативным отделением - врач-нефролог;2016-10-17;;53;0
409;AMB_MED_79;Заведующий консультативно-диагностическим отделением - врач-пульмонолог;2016-10-17;;14;0
366;AMB_71;Старший администратор;2019-04-19;;;0
386;AMB_72;Начальник отдела организации и координации работы по пациентоориентированности при оказании первичной медико-санитарной помощи населению;2015-09-08;2019-04-19;;0
344;HOSP_MED_67;Заведующий дерматологическим отделением - врач-дерматовенеролог;2018-11-02;;41;0
367;AMB_68;Техник 1 категории;2017-03-17;2019-04-19;;0
387;AMB_MED_75;Заведующий консультативно-диагностическим отделением - врач-невролог;2016-10-17;;31;0
368;AMB_MED_71;Заведующий консультативно-диагностическим отделением - врач-гастроэнтеролог;2016-10-17;;17;0
388;HOSP_MED_76;Заведующий дневным отделением - врач-психиатр;2018-11-02;;4;0
345;HOSP_67;Заместитель начальника отдела пожарной безопасности;2018-11-02;;;0
369;HOSP_MED_72;Заведующий диагностическим отделением - врач-хирург;2018-11-02;;86;0
389;HOSP_76;Начальник инженерно-технического отдела;2018-11-02;;;0
410;HOSP_MED_80;Заведующий дневным стационаром - врач-гематолог;2018-11-02;;20;0
370;HOSP_72;Заместитель руководителя службы охраны труда;2018-11-02;;;0
390;AMB_76;Начальник справочно-информационного отдела;2019-04-19;;;0
411;HOSP_80;Начальник котельной;2018-11-02;;;0
391;AMB_73;Заместитель начальника отдела организации и координации работы по пациентоориентированности при оказании первичной медико-санитарной помощи населению;2015-09-08;2019-04-19;;0
412;AMB_80;Специалист в области прикладной эстетики;2019-04-19;;;0
392;AMB_MED_76;Заведующий консультативно-диагностическим отделением - врач-нефролог;2016-10-17;;53;0
393;HOSP_MED_77;Заведующий дневным стационаром - врач - детский хирург;2018-11-02;;49;0
413;AMB_77;Президент;2017-11-14;2019-04-19;;0
394;HOSP_77;Начальник информационно-аналитического отдела;2018-11-02;;;0
414;AMB_MED_80;Заведующий консультативно-диагностическим отделением - врач-терапевт;2016-10-17;;61;0
395;AMB_77;Президент;2019-04-19;;;0
415;HOSP_MED_81;Заведующий дневным стационаром - врач-инфекционист;2018-11-02;;57;0
416;HOSP_81;Начальник материально-технического отдела;2018-11-02;;;0
417;AMB_81;Клинический консультант;2019-04-19;;;0
418;AMB_78;Системный администратор;2018-09-01;2019-04-19;;0
419;AMB_MED_81;Заведующий консультативно-диагностическим отделением - врач-травматолог-ортопед;2016-10-17;;67;0
420;HOSP_MED_82;Заведующий дневным стационаром - врач-кардиолог;2018-11-02;;59;0
421;HOSP_82;Начальник оперативного отдела;2018-11-02;;;0
422;AMB_82;Начальник отдела по организации и оказанию платных услуг;2019-04-19;;;0
423;AMB_79;Специалист по рекламе;2018-09-01;2019-04-19;;0
424;AMB_MED_82;Заведующий консультативно-диагностическим отделением - врач-эндокринолог;2016-10-17;;88;0
425;HOSP_MED_83;Заведующий дневным стационаром - врач-методист;2018-11-02;;62;0
426;HOSP_83;Начальник отдела ведения договоров медицинских услуг;2018-11-02;;;0
447;AMB_MED_87;Заведующий консультативно-диагностическим отделением - врач -специалист;2015-11-01;2017-03-17;91;0
194;HOSP_37;Заместитель директора по гражданской обороне и мобилизационной работе;2018-11-02;;;0
427;AMB_83;Менеджер по оказанию платных услуг;2019-04-19;;;0
448;AMB_84;Менеджер по организации и оказанию платных медицинских услуг;2018-09-01;2019-04-19;;0
195;AMB_37;Подсобный рабочий;2019-04-19;;;0
428;AMB_80;Специалист в области прикладной эстетики;2018-09-01;2019-04-19;;0
429;AMB_MED_83;Заведующий консультативно-диагностическим отделением - врач-эндоскопист;2016-10-17;;89;0
197;AMB_MED_37;Заведующий отделением детской эндокринологии - врач - детский эндокринолог;2015-11-01;;51;0
449;HOSP_MED_88;Заведующий дневным стационаром - врач-психиатр;2018-11-02;;4;0
198;HOSP_MED_38;Заместитель директора по амбулаторно-поликлинической работе;2018-11-02;;62;0
430;HOSP_MED_84;Заведующий дневным стационаром - врач-невролог;2018-11-02;;31;0
450;HOSP_88;Начальник отдела информационных технологий;2018-11-02;;;0
431;HOSP_84;Начальник отдела государственных закупок;2018-11-02;;;0
451;AMB_MED_88;Заведующий консультативно-диагностическим кабинетом - врач - терапевт;2015-11-01;;61;0
199;HOSP_38;Заместитель директора по кадрам;2018-11-02;;;0
452;AMB_85;Начальник гаража;2018-12-29;2019-04-19;;0
432;AMB_MED_84;Заведующий консультативно-диагностическим отделением- врач-офтальмолог;2016-10-17;;70;0
453;HOSP_MED_89;Заведующий дневным стационаром - врач-психиатр-нарколог;2018-11-02;;;0
433;AMB_84;Менеджер по организации и оказанию платных медицинских услуг;2019-04-19;;;0
200;AMB_MED_38;Заведующий кабинетом врача детского эндокринолога - врач - детский эндокринолог;2015-11-01;;51;0
434;AMB_81;Клинический консультант;2018-09-01;2019-04-19;;0
454;HOSP_89;Начальник отдела кадров;2018-11-02;;;0
435;HOSP_MED_85;Заведующий дневным стационаром - врач-онколог;2018-11-02;;60;0
201;AMB_38;Полировщик;2019-04-19;;;0
220;AMB_42;Слесарь по ремонту;2019-04-19;;;0
436;HOSP_85;Начальник отдела гражданской обороны и мобилизационной работы;2018-11-02;;;0
455;AMB_MED_89;Заведующий консультативно-диагностическим кабинетом - врач - педиатр;2015-11-01;;73;0
221;AMB_39;Программист;2015-11-01;2019-04-19;;0
437;AMB_85;Начальник гаража;2019-04-19;;;0
222;AMB_MED_42;Заведующий отделением функциональной диагностики - врач функциональной диагностики;2015-11-01;;85;0
202;AMB_35;Механик;2015-11-01;2019-04-19;;0
438;AMB_82;Начальник отдела по организации и оказанию платных услуг;2018-09-01;2019-04-19;;0
456;AMB_86;Тракторист;2018-12-29;2019-04-19;;0
223;HOSP_MED_43;Заместитель директора по психосоциальной реабилитации;2018-11-02;;62;0
439;AMB_MED_85;Заведующий консультативно-диагностическим отделением - врач-хирург;2016-10-17;;86;0
203;HOSP_MED_39;Заместитель директора по клинико-экспертной работе;2018-11-02;;62;0
440;HOSP_MED_86;Заведующий дневным стационаром - врач-офтальмолог;2018-11-02;;70;0
457;HOSP_MED_90;Заведующий дневным стационаром - врач-психотерапевт;2018-11-02;;11;0
224;HOSP_43;Заместитель директора по правовому обеспечению и кадровой политике;2018-11-02;;;0
441;HOSP_86;Начальник отдела делопроизводства;2018-11-02;;;0
458;HOSP_90;Начальник отдела компьютерной обработки документов по расчетам обязательного медицинского страхования;2018-11-02;;;0
204;HOSP_39;Заместитель директора по образовательной деятельности;2018-11-02;;;0
442;AMB_86;Тракторист;2019-04-19;;;0
225;AMB_43;Слесарь-сантехник;2019-04-19;;;0
205;AMB_MED_39;Заведующий педиатрическим отделением - врач - педиатр;2015-11-01;;73;0
459;AMB_MED_90;Заведующий консультативным кабинетом - врач - терапевт;2015-11-01;;61;0
206;AMB_39;Программист;2019-04-19;;;0
207;AMB_36;Оператор электронно-вычислительных машин;2015-11-01;2019-04-19;;0
226;AMB_40;Рабочий по комплексному обслуживанию и ремонту зданий;2015-11-01;2019-04-19;;0
443;AMB_83;Менеджер по оказанию платных услуг;2018-09-01;2019-04-19;;0
460;HOSP_MED_91;Заведующий дневным стационаром - врач-радиолог;2018-11-02;;;0
208;HOSP_MED_40;Заместитель директора по лечебной работе - главный врач;2018-11-02;;62;0
444;AMB_MED_86;Заведующий консультативно-диагностическим отделением - врач ультразвуковой диагностики;2016-10-17;;76;0
227;AMB_MED_43;Заведующий кабинетом функциональной диагностики - врач функциональной диагностики;2015-11-01;;85;0
461;HOSP_91;Начальник отдела маркетинга;2018-11-02;;;0
209;HOSP_40;Заместитель директора по общим вопросам;2018-11-02;;;0
445;HOSP_MED_87;Заведующий дневным стационаром - врач-педиатр;2018-11-02;;73;0
462;AMB_MED_91;Заведующий консультативным кабинетом - врач - педиатр;2015-11-01;;73;0
228;HOSP_MED_44;Заместитель директора по работе с сестринским персоналом;2018-11-02;;62;0
210;AMB_40;Рабочий по комплексному обслуживанию и ремонту зданий;2019-04-19;;;0
229;HOSP_44;Заместитель директора по развитию и международной деятельности;2018-11-02;;;0
446;HOSP_87;Начальник отдела закупок и договорной работы;2018-11-02;;;0
463;HOSP_MED_92;Заведующий дневным стационаром - врач-терапевт;2018-11-02;;61;0
211;AMB_37;Подсобный рабочий;2015-11-01;2019-04-19;;0
230;AMB_MED_44;Заведующий отделом организационно - методическим и клинико-экспертной работы - врач - методист;2015-11-01;;62;0
212;AMB_MED_40;Заведующий отделением ультразвуковой диагностики - врач ультразвуковой диагностики;2015-11-01;;76;0
231;AMB_44;Слесарь-электрик;2019-04-19;;;0
232;AMB_41;Секретарь;2015-11-01;2019-04-19;;0
213;HOSP_MED_41;Заместитель директора по медицинской части;2018-11-02;;62;0
464;HOSP_92;Начальник отдела материально-технического снабжения;2018-11-02;;;0
233;HOSP_MED_45;Заместитель директора по санитарно-эпидемиологическим вопросам;2018-11-02;;62;0
